contrast,metric,band,nA,nB,meanA,meanB,raw_p,adj_p_agesex,fdr_q
ALL-DEM vs NC,global_rho,delta,59,29,0.999786560248544,0.9997872570238289,0.8145259425798839,0.6262865419191594,0.8145259425798839
ALL-DEM vs NC,global_rho,theta,59,29,0.9997400328896224,0.999732211049463,0.008386741194690022,0.03215210098556146,0.010483426493362527
ALL-DEM vs NC,global_rho,alpha,59,29,0.9996818194118167,0.9997065586480096,3.0009694081058077e-06,7.169234648673883e-06,7.502423520264519e-06
ALL-DEM vs NC,global_rho,beta,59,29,0.996694279367934,0.9968780880509718,2.167075522998887e-06,1.997292915352052e-05,7.502423520264519e-06
ALL-DEM vs NC,global_rho,broadband,59,29,0.9739708929807611,0.9768212199432681,0.0046938207966286455,0.009607301795506727,0.007823034661047742
PreSEN vs NC,dv,delta,25,15,1.0250397603037698e-05,7.98418916425625e-07,0.06811848759247768,0.07874757069349002,0.3405924379623884
PreSEN vs NC,dv,theta,25,15,1.0288571466574581e-05,2.9214047459517426e-06,0.2691113173521547,0.39029105894339766,0.6727782933803867
PreSEN vs NC,dv,alpha,25,15,7.139881520235037e-08,5.135235002962091e-06,0.5421629227386232,0.6242917152197821,0.7699885579662341
PreSEN vs NC,dv,beta,25,15,7.927017792412122e-05,5.9763823341197504e-05,0.7699885579662341,0.5867582776612822,0.7699885579662341
PreSEN vs NC,dv,broadband,25,15,0.002913402158699593,0.0033267420199473204,0.670872269586725,0.315607300293955,0.7699885579662341
PreSEN vs NC,global_rho,delta,25,15,0.9997874281735255,0.9997778164262588,0.009376315445253384,0.008322581336776578,0.046881577226266916
PreSEN vs NC,global_rho,theta,25,15,0.9997342036517797,0.9997340614962008,0.9747240755613674,0.9493029091743685,0.9747240755613674
PreSEN vs NC,global_rho,alpha,25,15,0.9997102199497757,0.9997115184758215,0.8832815378237581,0.9742320725402251,0.9747240755613674
PreSEN vs NC,global_rho,beta,25,15,0.9968031901862883,0.9970113691272936,0.06018025852503636,0.07910129669083259,0.1003004308750606
PreSEN vs NC,global_rho,broadband,25,15,0.9680853473162299,0.9718888639544215,0.04820508268786651,0.03511963424041883,0.1003004308750606
