transfer,auc,auc_lo,auc_hi,sens,spec
AD -> predict FTD,0.7451274362818591,0.5967179456241957,0.8725637181409295,0.43478260869565216,0.9655172413793104
FTD -> predict AD,0.8160919540229885,0.7030360531309298,0.9119065467266365,0.8055555555555556,0.7586206896551724
