contrast,n_pos,n_neg,panel_auc,panel_lo,panel_hi,sens,spec,alpha_auc,alpha_lo,alpha_hi
AD vs NC,36,29,0.7863984674329503,0.6647321839080459,0.8905401859349227,0.6666666666666666,0.8275862068965517,0.8362068965517241,0.7287271849771849,0.9270005424063116
FTD vs NC,23,29,0.6881559220389805,0.5343734681372548,0.8333395802098951,0.7391304347826086,0.6206896551724138,0.704647676161919,0.5454126518642648,0.837037037037037
ALL-DEM vs NC,59,29,0.7369959088252483,0.6268862545018007,0.8399616575460829,0.7288135593220338,0.6896551724137931,0.7849210987726475,0.6879764125799573,0.8740739292264537
